common_name,scientific_name,moisture_needs,moisture_needs,sunlight_needs,sunlight_needs,hardiness_zones,hardiness_zones,img,key,uses,source
Fragrant Star Wallflower ,Erysimum Fragrant Star,{40},Mesic,{10},Full Sun,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Perennial Wallflower,Erysimum Fragrant Sunshine™,{40},Mesic,{20},Full Sun to Partial Shade,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Creek Monkeyflower,Erythranthe guttata,"{10,20,30}","In Water, Wet, Wet Mesic",{20},Full Sun to Partial Shade,"{25,20}",2a (-50°F to -45°F),,"Wet Soils: Hydric or wet soils are characteristic of wetland or shoreline areas. The soils are usually saturated with water. There is periodic flooding or ponding and the moisture usually does not drain well. The roots of several dry plants cannot withstand the moisture levels of wet soil. Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.",,
Placa,Erythranthe lutea,"{20,30,40}","Wet, Wet Mesic, Mesic",{20},Full Sun to Partial Shade,{80},8a (10°F to 15°F),,"Wet Soils: Hydric or wet soils are characteristic of wetland or shoreline areas. The soils are usually saturated with water. There is periodic flooding or ponding and the moisture usually does not drain well. The roots of several dry plants cannot withstand the moisture levels of wet soil.  Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Tiling's Monkeyflower,Erythranthe tilingii,"{20,30}","Wet, Wet Mesic",{20},Full Sun to Partial Shade,{70},7a (0°F to 5°F),,"Wet Soils: Hydric or wet soils are characteristic of wetland or shoreline areas. The soils are usually saturated with water. There is periodic flooding or ponding and the moisture usually does not drain well. The roots of several dry plants cannot withstand the moisture levels of wet soil. Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.",,
Coast Coral Tree,Erythrina caffra,{40},Mesic,{10},Full Sun,{100},10a (30°F to 35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Brazillian Coral Tree,Erythrina crista-galli,{40},Mesic,{10},Full Sun,{90},9a (20°F to 25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Coralbean,Erythrina flabelliformis,"{40,50}","Mesic, Dry Mesic",{10},Full Sun,{85},8b (15°F to 20°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils. Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Cherokee Bean,Erythrina herbacea,{40},Mesic,"{20,30}",Full Sun to Dappled Shade,{80},8a (10°F to 15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
White Trout-Lily,Erythronium albidum,{40},Mesic,"{30,40}",Partial to Full Shade,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Trout Lily,Erythronium americanum,{40},Mesic,"{30,40}",Partial to Full Shade,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Cream Fawn Lily,Erythronium citrinum,{40},Mesic,"{30,40}",Partial to Full Shade,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Yellow avalanche-lily,Erythronium grandiflorum,"{40,50,60}","Mesic, Dry Mesic, Dry","{20,30,40}",Full Sun to Full Shade,"{25,20}",2a (-50°F to -45°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Henderson's Fawn Lily,Erythronium hendersonii,{40},Mesic,"{30,40}",Partial to Full Shade,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Fawn Lily,Erythronium japonicum,{40},Mesic,{30},Partial or Dappled Shade,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Oregon Fawn Lily,Erythronium oregonum,{40},Mesic,"{30,40}",Partial to Full Shade,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Pink Fawn Lily,Erythronium revolutum,{40},Mesic,"{30,40}",Partial to Full Shade,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Tuolumne Fawn lily,Erythronium tuolumnense,{40},Mesic,"{30,40}",Partial to Full Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Escallonia,Escallonia,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{90},9a (20°F to 25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Escallonia,Escallonia rosea,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{90},9a (20°F to 25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
California Poppy,Eschscholzia californica,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,{90},9a (20°F to 25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Red California Poppy,Eschscholzia californica,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,{90},9a (20°F to 25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
